"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 06:39:52 GMT 2025","Sun Nov 02 06:39:52 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sun Nov 02 06:39:45 GMT 2025","Sun Nov 02 06:39:48 GMT 2025","2253","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 06:39:52 GMT 2025","Sun Nov 02 06:39:52 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sun Nov 02 06:39:49 GMT 2025","Sun Nov 02 06:39:51 GMT 2025","2377","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 06:39:48 GMT 2025","Sun Nov 02 06:39:51 GMT 2025","2530","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Nov 02 06:39:56 GMT 2025","Sun Nov 02 06:39:58 GMT 2025","1757","LMS System","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Nov 02 06:39:52 GMT 2025","Sun Nov 02 06:39:52 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sun Nov 02 06:39:45 GMT 2025","Sun Nov 02 06:39:48 GMT 2025","2698","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Nov 02 06:39:52 GMT 2025","Sun Nov 02 06:39:52 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sun Nov 02 06:39:55 GMT 2025","Sun Nov 02 06:39:55 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sun Nov 02 06:39:54 GMT 2025","Sun Nov 02 06:39:57 GMT 2025","3840","LMS System","Courses","Courses","","","Edit course",""
"passed","Sun Nov 02 06:39:58 GMT 2025","Sun Nov 02 06:39:58 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sun Nov 02 06:39:49 GMT 2025","Sun Nov 02 06:39:54 GMT 2025","5167","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Nov 02 06:39:48 GMT 2025","Sun Nov 02 06:39:50 GMT 2025","1964","LMS System","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Nov 02 06:39:45 GMT 2025","Sun Nov 02 06:39:47 GMT 2025","1981","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Nov 02 06:39:51 GMT 2025","Sun Nov 02 06:39:55 GMT 2025","4148","LMS System","Courses","Courses","","","Create course",""
